year,basin,files,bytes
1987,ALL,478,8085306013
1988,ALL,648,10734604347
1989,ALL,899,15124246415
1990,ALL,989,17542451721
1991,ALL,1115,14398841077
1992,ALL,1960,20840140239
1993,ALL,1604,17441637178
1994,ALL,1778,20108774257
1995,ALL,2037,18820709347
1996,ALL,2687,23338429738
1997,ALL,3909,28718233840
1998,ALL,3463,29676394817
1999,ALL,2905,27764073382
2000,ALL,3339,30280394785
2001,ALL,3992,31241428770
2002,ALL,5377,41525283346
2003,ALL,7080,55645418697
2004,ALL,7099,55323689355
2005,ALL,8342,59279846290
2006,ALL,7884,54387297635
2007,ALL,7565,49181858399
2008,ALL,8745,61186698089
2009,ALL,8180,56207073576
2010,ALL,6978,52277905727
2011,ALL,7436,55140308491
2012,ALL,9544,64490293104
2013,ALL,10538,70823811536
2014,ALL,11111,75568645766
2015,ALL,13134,86058286011
2016,ALL,10799,71644697568
2017,ALL,9396,62697600377
2018,ALL,14690,95768893138
2019,ALL,13944,92822614005
2020,ALL,11257,78086536421
2021,ALL,11823,82812125520
2022,ALL,10492,73270716592
2023,ALL,12955,84852983924
2024,ALL,10688,72564904189
TOTAL,,256860,1865733153682

