year,basin,files,bytes
1993,AL,129,1344039267
1993,CP,37,418369594
1993,IO,39,414321413
2003,AL,1538,11764747908
2003,CP,58,332809558
2003,EP,974,7478304798
2003,IO,214,1746442387
2009,AL,894,5686079301
2009,CP,336,2216449000
2009,EP,1721,11182323457
2009,IO,251,1794363533
2014,AL,1411,8681978323
2014,CP,357,2103556224
2014,IO,545,3659850466
2015,AL,1467,9184737448
2015,CP,1535,9942196692
2015,IO,468,3059758849
2016,AL,2394,15468957401
2016,CP,142,931207681
2016,IO,462,3050594670
TOTAL,,14972,100461087970

